gua-h-asp-ddaa_3.log	-40.87	O10 - H19	0.035736	1.8	114.1	226.73
asp gua-H parallel		O11 - H14	0.036287	1.79	112.63	
gua-h-asp-dda_moved.log	-32.63	O11 - H19	0.021668	1.98	40.84	115.14
asp gua-H bifurcated		O11 - H14	0.029751	1.89	74.31	
gua-h-onp-dda2_2.log	-21.63	O18 - H27	0.015183	2.11	23.93	82.55
onp gua-H beta zigzag		O18 - H28	0.017247	2.14	29.96	
		O17 - H28	0.017449	2.13	28.66	
gua-h-onp-dda1_2.log	-21.5	O18 - H27	0.018002	2.11	31.51	83.51
onp gua-H alpha zigzag		O17 - H27	0.01597	2.18	25.65	
		O17 - H28	0.01629	2.07	26.36	
gua-h-pep-dda_2.log	-25.86	O12 - H15	0.021174	1.99	39.25	94.93
pep gua-H bifurcated		O12 - H20	0.024881	1.95	55.69	
gua-h-pnp-dda.log	-17.13	O16 - H27	0.018049	2.06	31.59	66.36
pnp gua-H bifurcated		O16 - H28	0.019021	2.05	34.77	
